관측소명,시간,수위
여수대교,2003-06-11 15:47,15.45 
여수대교,2003-06-11 15:50,15.46 
여수대교,2003-06-11 16:00,15.46 
여수대교,2003-06-11 16:10,15.46 
여수대교,2003-06-11 16:20,15.46 
여수대교,2003-06-11 16:30,15.46 
여수대교,2003-06-11 16:40,15.45 
여수대교,2003-06-11 16:50,15.46 
여수대교,2003-06-11 17:00,15.46 
여수대교,2003-06-11 17:10,15.46 
여수대교,2003-06-11 17:20,15.46 
여수대교,2003-06-11 17:30,15.46 
여수대교,2003-06-11 17:40,15.46 
여수대교,2003-06-11 17:50,15.46 
여수대교,2003-06-11 18:00,15.47 
여수대교,2003-06-11 18:10,15.47 
여수대교,2003-06-11 18:20,15.47 
여수대교,2003-06-11 18:30,15.47 
여수대교,2003-06-11 18:40,15.48 
여수대교,2003-06-11 18:50,15.49 
여수대교,2003-06-11 19:00,15.49 
여수대교,2003-06-11 19:10,15.50 
여수대교,2003-06-11 19:20,15.51 
여수대교,2003-06-11 19:30,15.51 
여수대교,2003-06-11 19:40,15.51 
여수대교,2003-06-11 19:50,15.52 
여수대교,2003-06-11 20:00,15.52 
여수대교,2003-06-11 20:10,15.52 
여수대교,2003-06-11 20:20,15.52 
여수대교,2003-06-11 20:30,15.53 
여수대교,2003-06-11 20:40,15.53 
여수대교,2003-06-11 20:50,15.54 
여수대교,2003-06-11 21:00,15.54 
여수대교,2003-06-11 21:10,15.55 
여수대교,2003-06-11 21:20,15.55 
여수대교,2003-06-11 21:30,15.55 
여수대교,2003-06-11 21:40,15.55 
여수대교,2003-06-11 21:50,15.55 
여수대교,2003-06-11 22:00,15.56 
여수대교,2003-06-11 22:10,15.56 
여수대교,2003-06-11 22:20,15.56 
여수대교,2003-06-11 22:30,15.56 
여수대교,2003-06-11 22:40,15.56 
여수대교,2003-06-11 22:50,15.56 
여수대교,2003-06-11 23:00,15.56 
여수대교,2003-06-11 23:10,15.56 
여수대교,2003-06-11 23:20,15.56 
여수대교,2003-06-11 23:30,15.56 
여수대교,2003-06-11 23:40,15.55 
여수대교,2003-06-11 23:50,15.55 
여수대교,2003-06-12 00:00,15.55 
여수대교,2003-06-12 00:10,15.55 
여수대교,2003-06-12 00:20,15.55 
여수대교,2003-06-12 00:30,15.55 
여수대교,2003-06-12 00:40,15.55 
여수대교,2003-06-12 00:50,15.55 
여수대교,2003-06-12 01:00,15.55 
여수대교,2003-06-12 01:10,15.55 
여수대교,2003-06-12 01:20,15.55 
여수대교,2003-06-12 01:30,15.55 
여수대교,2003-06-12 01:40,15.55 
여수대교,2003-06-12 01:50,15.55 
여수대교,2003-06-12 02:00,15.54 
여수대교,2003-06-12 02:10,15.54 
여수대교,2003-06-12 02:20,15.54 
여수대교,2003-06-12 02:30,15.54 
여수대교,2003-06-12 02:40,15.53 
여수대교,2003-06-12 02:50,15.53 
여수대교,2003-06-12 03:00,15.53 
여수대교,2003-06-12 03:10,15.53 
여수대교,2003-06-12 03:20,15.53 
여수대교,2003-06-12 03:30,15.53 
여수대교,2003-06-12 03:40,15.53 
여수대교,2003-06-12 03:50,15.53 
여수대교,2003-06-12 04:00,15.53 
여수대교,2003-06-12 04:10,15.53 
여수대교,2003-06-12 04:20,15.53 
여수대교,2003-06-12 04:30,15.53 
여수대교,2003-06-12 04:40,15.53 
여수대교,2003-06-12 04:50,15.52 
여수대교,2003-06-12 05:00,15.52 
여수대교,2003-06-12 05:10,15.53 
여수대교,2003-06-12 05:20,15.53 
여수대교,2003-06-12 05:30,15.53 
여수대교,2003-06-12 05:40,15.53 
여수대교,2003-06-12 05:50,15.53 
여수대교,2003-06-12 06:00,15.52 
여수대교,2003-06-12 06:10,15.52 
